13953 MEMORY LEAK DETECTED!
At address (000001678D31FBF0), Declared in file d:\sneks\sneks\sneks\src\ecs\ecsystem.cpp, line 144
At address (000001678D330800), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001678D330920), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001678D332150), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001678D3321E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001678D332390), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001678D332420), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001678D388930), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 61
At address (0000016791ABD6C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABD780), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABD840), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABD900), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABD9C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABDB40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABDC00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABDCC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABDE40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABE080), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABE200), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 81
At address (0000016791ABE380), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABE440), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016791ABEAD0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABEBF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791ABEC80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791ABED10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791ABEDA0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABEEC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 152
At address (0000016791ABEF50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791ABEFE0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABF070), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABF2B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABF3D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791ABF460), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791ABF4F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABF580), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791ABF730), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABF850), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABF8E0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791ABF970), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791AC00C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791AC0150), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791AC01E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791AC04B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791AC05D0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 149
At address (0000016791AC06F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000016791AC0930), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000016791AC48F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.h, line 16
At address (0000016791B2A940), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2AB00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2AB70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2ABE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2B040), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000016791B2B200), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2B270), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2B740), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2B9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2BAC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2BC10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2BF20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2C150), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2C1C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2C230), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016791B2C310), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000016798433620), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000167984342A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000016798434320), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (00000167984347A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (00000167984348A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000016798434E20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000016798435220), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (00000167984354A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000016798435E20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000016798435FA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000016798436120), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000167984363A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000016798436820), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000016798436D20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000016798436E20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000167984371A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000016798437520), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (00000167984376A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000016798437BA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (0000016798438020), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001679856A9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856AA80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856AB20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856ABC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856AC60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856AD00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856ADA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856AE40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856AF80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B020), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B160), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B340), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B3E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B520), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B5C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B660), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B700), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (000001679856B840), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
