5533 MEMORY LEAK DETECTED!
At address (00000295009722A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000295009759A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500A8DF90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 61
At address (0000029500AFA050), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFA0B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA110), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFA170), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA1D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFA230), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA290), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA2F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFA350), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFA410), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFA470), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA4D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFA590), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA5F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA650), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA710), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFA770), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFA7D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFA830), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFA8F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFAA10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFAA70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFAAD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFAB30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFAB90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFABF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFAC50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFACB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFAD10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFAD70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFAE30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFAE90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFAF50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFAFB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFB070), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFB0D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFB190), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFB250), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFB2B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFB310), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFB370), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFB3D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFB430), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFB490), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFB5B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFB610), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFB670), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFB6D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFB7F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFB8B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFB970), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFB9D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFBAF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFBB50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFBBB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFBC10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFBC70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFBCD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFBD30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFBD90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500AFBDF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFBE50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFBEB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000029500AFBF10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000029500AFBF70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000029500B26060), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 152
At address (0000029500B270B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000029500B274A0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000029500B276E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000029500B27770), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000029500B49530), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (0000029500B49D10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000029500B4A2C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000029500B4A640), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (0000029500B4BDC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4C720), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4C9A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4CA40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4CB80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4CCC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4D080), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4DA80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B4DBC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 71
At address (0000029500B594E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B59560), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5AC60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5B660), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5B860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5B8E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5B9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5BB60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5BCE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5C760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5D0E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5D360), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5D9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5DCE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5E3E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5E4E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5E9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5EDE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5F3E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5F860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5FD60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B5FEE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B604E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B606E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B60BE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B60EE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B612E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B615E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B61860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B61E60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B62260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B623E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B62460), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B62760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B63060), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B63460), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B636E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B63AE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B64260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B645E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (0000029500B64760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
