1572 MEMORY LEAK DETECTED!
At address (000001F6124D9510), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001F6124D9660), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001F6124D99E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001F6124D9A50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001F6124E7E80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001F6124E7EF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (000001F6124E7FD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (000001F6124E8040), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (000001F6124E80B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (000001F6124E8120), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (000001F612520900), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F6125209C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612520A80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612520B40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612520C00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612520CC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612520D80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612520E40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612520F00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612520FC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521080), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521140), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521200), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F6125212C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521380), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521440), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521500), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F6125215C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521680), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521740), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521800), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F6125218C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521980), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521A40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521B00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521BC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521C80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521D40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521E00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521EC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612521F80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 81
At address (000001F612522040), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612522100), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F6125221C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612522280), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612522340), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612522400), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F6125224C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612522580), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612522640), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612522700), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F6125227C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F612576940), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F6125769D0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F6125773F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F612577480), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F612577D80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F612577F30), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F612577FC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E70350), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E70470), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 149
At address (000001F616E706B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E70740), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E70860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E70980), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E70AA0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E70B30), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E70BC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E70CE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E70D70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E70E00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E71550), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 152
At address (000001F616E715E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E719D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E71A60), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E71B80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E71CA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E71D30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E71DC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E71E50), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E71F70), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E72000), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001F616E72090), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E72120), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001F616E74BB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E74D30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E74DF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E74EB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E74F70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E75030), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 81
At address (000001F616E750F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E751B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E75270), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E75330), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001F616E75630), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
