1576 MEMORY LEAK DETECTED!
At address (000001DAE46CF000), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE46CF090), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE46CF120), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE46CF1B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE46CF480), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE46CFAB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE46CFF30), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE4728EA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 61
At address (000001DAE8FADFA0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAE030), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAE150), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAE1E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAE270), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAE300), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAE390), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 149
At address (000001DAE8FAE4B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAE540), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAE5D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAE660), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAE780), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAEC00), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAEC90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAEDB0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAF470), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAF6B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAF860), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAF8F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 152
At address (000001DAE8FAF980), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAFA10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAFCE0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAFD70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000001DAE8FAFE00), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FAFE90), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000001DAE8FB1080), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 81
At address (000001DAE8FB1140), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB12C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1380), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1440), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1500), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1800), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB18C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1980), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1A40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1BC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1C80), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB1D40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000001DAE8FB5490), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.h, line 16
At address (000001DAE8FB54F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000001DAE901C290), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901C300), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901C3E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901C680), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901C8B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901C990), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901CAE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901CDF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901D100), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 90
At address (000001DAE901D250), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901D410), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901D4F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901D6B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901D870), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901D9C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901DA30), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901DAA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901DD40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901DE20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901DF00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901E050), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAE901E130), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001DAEF970320), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001DAEF970FA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001DAEF971320), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001DAEF9713A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001DAEF9715A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001DAEF971620), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001DAEF9717A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001DAEF9719A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001DAEF972420), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001DAEF972A20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001DAEF972B20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001DAEF972E20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001DAEF973220), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001DAEF973720), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
