5939 MEMORY LEAK DETECTED!
At address (0000018801628E10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018801629110), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000188016291D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018801629350), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018801629410), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018801629650), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018801629890), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018801650D50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (00000188016B5CD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 61
At address (0000018805F30CF0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000018805F30D80), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000018805F310E0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000018805F31200), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F31560), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 152
At address (0000018805F319E0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000018805F31A70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F31B00), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F31E60), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 149
At address (0000018805F32130), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000018805F321C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F32370), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F32400), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000018805F32490), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F32520), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F325B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 170
At address (0000018805F32640), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000018805F32760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F327F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000018805F32880), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000018805F70C90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F70D50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F70E10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F70ED0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F70F90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71110), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F711D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71290), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71350), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71410), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F714D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71650), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71710), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71890), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71950), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71AD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71B90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71C50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71D10), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71DD0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71E90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F71F50), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72010), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F720D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72190), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72250), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72310), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F723D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72490), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72550), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72610), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F726D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 81
At address (0000018805F72790), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 81
At address (0000018805F72850), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72910), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F729D0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F72A90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000018805F76B70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000018805F76BD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000018805F76C30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (0000018805F76C90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000018805F76CF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000018805F76D50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000018805F76E10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (0000018805F77110), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (0000018805F771D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
