2933 MEMORY LEAK(S) DETECTED!
At address (000002A6B8E592E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002A6B8E593A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002A6B8E59520), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002A6B8E59A60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002A6B8E59BE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002A6B8E59E20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002A6B8E5A060), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (000002A6B8E8A7F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002A6BD77D090), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6BD77D870), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 152
At address (000002A6BD77E050), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77E0E0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6BD77E200), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77E290), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6BD77E320), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77E3B0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77E440), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6BD77E4D0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 149
At address (000002A6BD77E560), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77E5F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6BD77E680), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6BD77E7A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77E830), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6BD77E8C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77E950), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77E9E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (000002A6BD77EA70), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (000002A6BD77EB00), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
