4270 MEMORY LEAK(S) DETECTED!
At address (000001FF098B02F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001FF098B0570), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B0E70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B0FF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001FF098B16F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B1B70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B1BF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B1DF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B2370), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B2D70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B2DF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B30F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B36F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B37F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B3EF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B4770), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B4870), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B48F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B4B70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B5870), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001FF098B5D70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B61F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B6270), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B6570), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B7370), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B7570), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B7AF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B7DF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B7EF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B81F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B8670), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B91F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B92F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 84
At address (000001FF098B95F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B9B70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098B9BF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BA0F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BA2F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BA670), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BAC70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BAEF0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BB5F0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BB770), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000001FF098BBA70), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
