3634 MEMORY LEAK(S) DETECTED!
At address (0000019C2FC3ED60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C2FC3EFA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C2FC3F1E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C2FC3F360), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C2FC3F5A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C2FC3F660), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C2FC3F8A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C2FCA8480), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 152
At address (0000019C2FCA8750), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C2FCA8870), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 55
At address (0000019C2FCA9B00), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 155
At address (0000019C34500520), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C345005E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C345006A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C34500760), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C34500820), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C345008E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C345009A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C34500A60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C34500B20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C34500BE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 81
At address (0000019C34500CA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000019C34500D60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
