9210 MEMORY LEAK(S) DETECTED!
At address (00000211E86D41A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 187
At address (00000211E86E1150), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 79
At address (00000211E86E1270), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (00000211E86E1FF0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 78
At address (00000211E87051A0), Declared in file d:\libraries\desktop\snekss\sneks\src\gameentry.cpp, line 11
At address (00000211E8719950), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 76
At address (00000211E8725F30), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 77
At address (00000211E8725FD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 84
At address (00000211EB3D79D0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 81
At address (00000211EB3D8150), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 30
At address (00000211EB3FAA20), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 156
At address (00000211EB4B9650), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 29
At address (00000211EB4B96B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 35
At address (00000211EB4B9710), Declared in file d:\libraries\desktop\snekss\sneks\src\systems\camerasystem.cpp, line 22
At address (00000211EB4B9A70), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000211ED5777E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 83
At address (00000211ED5B3110), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 31
At address (00000211ED5B3320), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 80
At address (00000211ED6A6630), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 32
At address (00000211ED6A6A90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (00000211ED6AADE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 85
At address (00000211ED6C5A50), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000211ED6CBDE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 86
At address (00000211ED6CCAE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 61
At address (00000211ED6D3090), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3180), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3270), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3360), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3450), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 191
At address (00000211ED6D3540), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3630), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3810), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3900), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3AE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3BD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3CC0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3DB0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D3EA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 191
At address (00000211ED6D3F90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 82
At address (00000211ED6D4080), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4170), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4260), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4350), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4440), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4530), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4620), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4800), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D48F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D49E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4BC0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4CB0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6D4DA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (00000211ED6DDDA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 28
At address (00000211ED771B60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771C00), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771CA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771D40), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771DE0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771E80), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED771FC0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772060), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772100), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772380), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772600), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED7726A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772740), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED7727E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772880), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772920), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
At address (00000211ED772A60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 71
