9811 MEMORY LEAK(S) DETECTED!
At address (000002889A4A54A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 187
At address (000002889A4D70B0), Declared in file d:\libraries\desktop\snekss\sneks\src\gameentry.cpp, line 11
At address (000002889A4E0860), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 78
At address (000002889A4E0E90), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002889A4E0F20), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 85
At address (000002889A4E1040), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 79
At address (000002889A4E3E40), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 77
At address (000002889A4E4200), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 84
At address (000002889A4E6390), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 76
At address (000002889A4E7520), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 156
At address (000002889CE0DDA0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 83
At address (000002889D26BD10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 35
At address (000002889D26BEF0), Declared in file d:\libraries\desktop\snekss\sneks\src\systems\camerasystem.cpp, line 22
At address (000002889D26C4F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 29
At address (000002889D26C970), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (000002889F360B40), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 31
At address (000002889F361010), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 80
At address (000002889F451660), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 30
At address (000002889F4518E0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 81
At address (000002889F4567C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\ecsystem.cpp, line 28
At address (000002889F4577C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (000002889F4578B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 191
At address (000002889F4579A0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (000002889F457B80), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (000002889F457C70), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (000002889F457D60), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
At address (000002889F457E50), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\entitymanager.cpp, line 195
